id,verb,object,detail
109,identify,a configurable combination,host dns
109,use,eset authentication server,NA
110,eset,smart security,care
110,take,annoying spam,even more effective spam filter
111,enter,your pc,removable medium
111,enter,such a usb thumb drive,self running medium eset smart security scan
111,autorun,inf,associated file
111,associate,the medium,addition
111,insert,any file,any removable device
111,access,a full scan,NA
112,eset,sysinspector,eset
112,eset,sysrescue,simplify
112,diagnose,infected system,deep scan
112,allow,system process,hidden threat
112,create,bootable rescue cd dvd,usb
112,create,drive,an infected computer
113,eset,smart security,technology
113,prevent,malicious software,your system
114,detect,potentially dangerous website,NA
115,block,email,infected attachment
115,compromise,website,NA
116,protect,your online banking activity,fraudulent website
116,protect,malicious program,financial information
116,provide,a safe desktop session,your financial transaction
116,provide,banking portal shopping,other e commerce website
116,hide,hacker,NA
117,run,your internet browser,a secure virtual environment
117,act,a shield,your pc s operating system
117,operate,malicious downloads,any malicious file
117,download,this environment,your real pc
118,come,enhanced configurability,NA
119,firewall,external threat,your computer
119,reach,the internet,threat
119,arise,network,your system
119,configure,protection,incoming and outgoing internet traffic
119,configure,our enhanced firewall,a firewall profile
119,set,network connection,stealth mode
119,be,an added benefit,your pc
119,hide,the prying eye,hacker
120,would,work,the best antivirus protection
121,enhance,more protection,your pc
121,riskware,other malicious program,NA
122,prevent,program,your keyboard
122,do,online banking,shopping
122,browse,the internet,NA
123,scan,file,folder
123,scan,lesser time,too much system resource
124,quick,heal dnascan technology detects,unknown threat
124,block,a combination,behavioral and characteristic inspection
125,have,security vulnerability,weakness
125,have,these vulnerability,hacker
125,let,your computer,your data vulnerability
125,detect,such weakness,the feature
126,steal,your confidential information,spyware
126,instal,keyloggers,your machine
126,be,data stealing softw,your keyboard
126,send,the information,the attacker
126,use,the virtual keyboard,any information
126,type,this keyboard,any malicious software
127,prevent,their recovery,any recovery tool
127,ensure,complete security,confidentiality
127,ensure,your valuable data,NA
128,stay,infected usb drive,this feature
128,scan,external drive,your pc
128,block,infection,NA
129,stop,unauthorized user,quick heal security setting
129,change,the system,safe mode
130,protect,quick heal s running process,service
131,affect,the security level,your system
132,set,a single computer,other computer
132,be,case,reinstallations
135,defrag,common problem,your computer
135,rob,speed,power
136,startup,manager,pc memory
137,protect,your kid,online danger
138,phish,technology,block
138,phish,fraudulent  site,NA
140,panda,virus,any other threat
140,malware,your computer essential anti virus programe,real time protection
140,offer,your pc,NA
141,panda,antivirus,pro
141,include,a bidirectional firewall,your wi fi network
141,protect,intrusion,unwanted connection
141,read,your favorite blog,the web
141,surf,complete peace,mind
142,protect,online fraud identity theft phishing attack,other criminal activity
143,turn,your computer,unlimited usage share
143,turn,friend,family
145,remove,malware virus,rootkit s fakeav worm
146,quarantine,module,the detected file
147,include,norman patented norman sandbox technology,NA
148,support,quick and deep scan mode,NA
149,scan,several machine business,NA
150,remove,virus worm,trojan
150,protect,clean infection,email attachment and internet downloads
151,instal,your pc,your privacy
151,clean,their activity,identity theft
152,power,agnitum outpost lock hacker,thief
152,deliver,total protection,known and unknown internal and external network based attack
153,detect,spyware adwares roguewares dialers,riskwares
154,detects,clean rootkits,deep system
154,do,running process registry,file system
154,hide,the system,NA
155,stop,dangerous downloads,fake website
155,avoid,personal file,advanced ransomware protection
156,prevent,voyeur,hijacking
156,prevent,private photo,file
157,install,internet security,unlimited personal pc tablet
157,protect,your family,NA
158,block,virus,spyware other malware
159,scan,twitter facebook link,NA
160,protect,harmful downloads,NA
161,password,private file,NA
162,phone,chat agent,hand
163,keep,your inbox,spam scam
164,shop,bank,enhanced firewall
166,rate,the safety,all site
166,rate,your search result,NA
167,malware,shared folder,NA
168,intercept,malicious website,NA
170,stop,company,your web activity
171,detect,all kind,nasty threat
171,detect,virus,even spyware ransomware
171,malware,attack,NA
172,malware,love,app behavior
172,analyze,real time,any suspicious change
172,catch,damage,NA
173,download,a file,a shady server
173,s,trouble tet file,a sealed space
173,keep,the rest,your pc
174,rid,mystery toolbars,ons
174,add,extension,your permission
175,play,antivirus,no problem
175,sit,the background,our other advanced feature
176,send,unknown file,the avast threat lab
176,analyze,our expert,NA
177,be,check,your pc
178,be,your router,threat
178,break,your home network,NA
179,s,jut one and avat paword,care
179,take,the rest,NA
180,connect,a fake site,hacker
180,steal,your banking detail,your online banking
181,browse,bank,shop
181,browse,a suite,tool
181,provide,extra protection discover,safezone
181,be,the world s most secure browser,NA
182,put,your window,other notification
182,put,hold,maximum processing power
182,get,speed,your game
183,protect,emerging threat,NA
184,block,hidden application,legitimate software
185,scan,file,your network
186,surf,shop stream download,bank
187,suspend,unnecessary notification,game
187,suspend,movie,NA
188,close,zero impact,the system
189,continuous,scanning protection,your system
190,manage,protection,all device
190,manage,your household,your device
190,scan,your product,vulnerability
190,check,one single place,NA
191,protect,your file family album,important document
191,hold,ransom,NA
192,build,the window filtering platform wfp,an advanced system
192,offer,app rule,greater performance
192,focus,stability,window
193,fill,password manager,your data
193,sync,device,automatic logins
194,make,online transaction,a unique dedicated browser
194,secure,your account,fraud safepay
194,fill,credit card detail,billing field
195,lock,wipe,your laptop
195,locate,any internet connected device,hand
196,block,inappropriate content,restricts
196,block,web access,your child s online activity
196,monitor,facebook,NA
197,antiphish,analyzes,block website
197,antiphish,various scam or credit card phishing attempt anti spam,unwanted email
197,reach,your inbox support server,cloud technology
198,ensure,no trace,your deleted sensitive file
198,remain,your pc,confidential file
198,lock,an encrypted vault,NA
199,oneclick,optimizer,speed
199,oneclick,your system,disk space
199,run,every known optimization,startup optimizer
199,startup,the system s boot time,the program
200,warn,outdated and vulnerable software,window security patch
200,miss,potentially unsafe system,NA
201,display,your overall security status,the past week
201,display,a the total issue,bitdefender
201,fix,installation,space
201,free,optimized apps,remaining available storage
202,innovative,exclusive technology,speed
202,improve,performance,a matter
202,adapt,each pc,NA
203,provide,a hassle free experience,optimal security related decision
203,relate,no input,no pop ups
203,watch,movie,the notebook
203,run,battery,apps
204,remove,the window operating system,the computer
204,reboot,rescue mode,a trusted environment
204,use,cleanup,restoration
206,keep,track,your security related task
206,drop,file,quick scanning
206,drop,virus,your desktop
207,norton,community watch track,virtually every file
207,norton,the internet,NA
208,defrag,common problem,your computer
208,rob,speed,power
209,startup,manager,pc memory
209,startup,fine tune,your computer
210,remove,unnecessary file,storage space
210,improve,hard drive speed,reliability
211,tell,a website,NA
212,protect,your kid,online danger
212,give,direct access,norton family
213,enter,your personal information,NA
214,avg,search shield place safety rating,each link
214,search,your  result,which site
214,trust,avg surf shield check web page,real time
214,identify,malicious website,NA
215,check,link,facebook
215,exchange,myspace,real time
216,share,risk,infection
216,exchange,online chat,NA
217,help,any problem,NA
218,s,core layer,protection
218,spread,even the toughest threat,NA
219,hassle,free protection,the background
219,play,game,movie
220,be,avg smart scanning work,low priority mode
221,anvi,smart defender detects,the latest and most malicious threat attack
221,integrate,multiple guard privacy guard startup guard process guard behavior guard file guard,malware
221,surf,shopping charting,socializing sharing
221,surf,banking,overall guard
222,anvi,smart defender,smart engine scan
222,detect,a fast light and effective way,your working
222,run,background,NA
223,anvi,smart defender,creative cloud computing technology
223,give,your pc more protection,the suspicious file
223,upload,a smart way,the cloud security report
223,get,the newest threat,the first time
224,protect,your pc,malware anvi smart defender
224,optimize,your computer,several aspect system optimize registry fix privacy cleaner memory sweep
224,optimize,disk,defragment
225,attack,your pc,your network
225,scan,potential security issue,attack
225,prevent,your router,network
226,isolate,your banking,an extra secure place
226,pay,bill,online pair
226,pay,secureline vpn,your privacy
226,protect,identity,NA
227,use,our secure personal firewall,your operating system software
227,shield,hardware,hacker
228,know,which email,spam
228,take,a phishing attack,NA
229,get,email support,phone support
229,pay,an even faster response,NA
230,protect,your router,dns hijacking
230,redirect,a password harvesting website,NA
231,have,the ability,apps
231,run,open file,NA
232,ensure,the safety,your data
232,block,ransomware,other dangerous apps
233,absolute,power,the most efficient antivirus
233,absolute,all threat,virus worm
233,ransomware,zero day exploit rootkits,your data
233,spyware,your privacy,good hand
234,use,an innovative technique,your active apps
234,take,instant action,NA
235,place,sensitive document,special protection
235,place,malicious encryption program,ransom
235,demand,your personal file,NA
236,remove,window,start
236,start,such threat,the computer
236,reboot,rescue mode,cleanup
237,bitdefender,antivirus,sniff and block website
237,bitdefender,a trustworthy,order
237,steal,financial data,NA
238,visit,website,such a casino porn site money loan scheme
239,find,your search result,a link bitdefender antivirus
239,click,known infected link,NA
240,switch,autopilot,your entire cyber security
240,make,optimal security decision,your input
240,ask,nagging pop ups,dialog box
241,save,computing resource,speed
241,improve,performance,NA
242,take,place,the cloud
242,be,virtually zero impact,your local resource
242,mean,your system s speed,performance
242,remain,your file,completely private we only scan data signature
243,bitdefender,antivirus,detects
243,play,work,a movie
243,bother,unnecessary request,your computer bitdefender
243,halt,pop ups,visual setting
243,adjust,unimportant background activity,your device
243,enjoy,the max,NA
244,save,battery life,laptop
244,save,tablet,such a display system cooling system update
244,cool,bluetooth connectivity,NA
245,bank,shop,a unique dedicated browser
245,secure,your transaction,fraud bitdefender safepay
245,fill,credit card detail,billing field
246,stay,malicious link,any threat
246,pas,facebook,twitter pinterest
247,store,your password credit card information,other sensitive data
247,store,a secure vault,easy access
247,need,password manager,the option
247,autofill,online form,password
248,use,this tool,a file
248,leave,no trace,your pc
249,s,pure freedom,autopilot
249,run,all your cyber security,pop ups dialog box
249,hassle,option,your work
249,have,fun,NA
251,secure,your virtual infrastructure,NA
252,integrate,antivirus antispyware firewall,intrusion prevention
252,integrate,a device control,application control
254,enable,instant upgrade,network access control
254,enforce,additional software deployment,NA
255,migration,previous version,symantec endpoint protection
256,expect,the wild virus,horse
257,certify,icsa,the product
257,take,the test,virus bulletin magazine
257,yield,multiple award,NA
258,avast,server edition,large cluster
258,support,terminal server,direct support
258,contain,cluster setup,a special wizard
258,make,the installation,cluster
259,set,terminal environment,another wizard
259,guide,the reconfiguration,avast system
259,look,the terminal user,a the standard avast
259,would,workstation,NA
260,limit,the terminal service,microsoft
260,be,citrix metaframe system,NA
261,avast,server edition,all edition
261,test,window server,window storage server
261,include,window datacenter,advantage
261,take,multiple cpu,stress
261,test,machine,a large number
261,verify,exceptional robustness,scalability
261,verify,technology,NA
262,ensure,compatibility,advanced server component
262,ensure,such a the v volume shadow copy,fr file replication service
262,run,all circumstance,NA
263,avast,server edition work,ia and amd based machine
263,be,solution,the market
263,cover,this fast emerging platform,more and more importance
263,gain,the upcoming year,NA
264,resident,protection,the real time protection
264,be,the computer,the most important part
264,be,an antivirus program,feature
264,detect,the virus,any chance
264,infect,your computer,NA
265,ensure,no virus,startup
265,be,the default setting,the resident protection
265,accommodate,the server environment,thorough scanning
265,adjust,the setting,your requirement
265,scan,the copied file,given set
265,give,extension,NA
266,call,operation,the purpose
266,display,virus,a server system
266,work,a request,an infected file
266,come,a network,an automatic action
266,display,the other hand,the request
266,come,a local or terminal session,the usual interactive mode
266,use,desktop antivirus,NA
267,optimize,speed,heavy load
267,utilize,the possibility,today s powerful server
267,utilize,the scanning,NA
268,use,terminal server,server edition
268,contain,additional resident module,e mail protection outlook exchange internet mail
268,contain,browser protection script blocker,NA
269,contain,both the user environment,server usage
269,enhance,the  user interface,the terminal server
269,give,access,all the setting
269,configure,extensive scanning,NA
270,define,the task,virus
270,scan,the common parameter,these task
270,run,every task,some result
270,generate,course,these result
270,work,resident protection,a special type
271,connect,task,the scheduler
271,schedule,the start,a particular task
272,make,work,a special notification manager
272,define,notification object,antivirus task
272,associate,demand,those notification object
272,use,the case,a virus
273,send,e mail message,smtp
273,use,mapi,the window
273,use,popup,mechanism network message
273,send,m message,msn window messenger
274,be,another key point,virus protection
274,be,both the virus database,the program
274,update,the update,only new data
274,reduce,the transfer time,the typical size
274,reduce,a virus database update,the program update
275,be,the update,fixed time interval
275,connect,the internet,your connection
276,be,a dramatic change,the philosophy
276,be,update,usually every installed program check
276,instal,a new version,available downloads
276,initialize,our server,your computer
276,perform,the necessary update,the system
276,control,the avast resident e mail provider m outlook,internet mail
277,protect,asymmetric cipher,unauthorized misuse
278,think,a a quarantine area,your disk
278,have,special property,certain file
278,work,the file,security restriction
279,be,complete isolation,the rest
279,be,the operating system,NA
280,be,the boot time,the case
280,be,suspect,an active virus
280,be,the computer,the boot time scan
280,perform,the start,the operating system
280,spread,action,NA
281,experienced,user,another server edition feature
281,be,the command line,the scanning
281,control,many argument,a special stdin stdout mode
282,use,batch program,the enhanced user interface task
282,enhance,the report file,NA
283,complete,defense,virus spyware adware
283,complete,the widest range,platform
283,be,checkmark,spyware detection
284,distribute,pre set time,demand
284,throttle,remote laptop user,NA
285,disinfect,a single operation unwanted registry entry running process,disk
286,block,execution,the benefit
286,give,a host intrusion prevention system hip,NA
287,perform,access,demand
287,mean,only those file,NA
288,absolute,power,the most efficient antivirus
288,absolute,all threat,virus worm
288,ransomware,zero day exploit rootkits,your data
288,spyware,your privacy,good hand
289,use,an innovative technique,your active apps
289,monitor,bitdefender internet security,instant action
290,place,sensitive document,special protection
290,place,malicious encryption program,ransom
290,demand,your personal file,NA
291,remove,window,start
291,start,bitdefender,such threat
291,reboot,the computer,rescue mode
291,reboot,cleanup,restoration
292,bitdefender,sniff and block website,a trustworthy
292,masquerade,order,financial data
293,visit,website,such a casino porn site money loan scheme
294,find,your search result,a link bitdefender
294,click,known infected link,NA
295,switch,autopilot,your entire cyber security
295,make,optimal security decision,your input
295,ask,nagging pop ups,dialog box
296,adapt,the hardware and software configuration,your system
296,save,computing resource,speed
296,improve,performance,NA
297,take,place,the cloud
297,be,virtually zero impact,your local resource
297,mean,your system s speed,performance
297,remain,your file,completely private we only scan data signature
298,bitdefender,internet security detects,work
298,watch,a movie,unnecessary request
298,do,your computer bitdefender internet security,pop ups
298,halt,visual setting,unimportant background activity
298,enjoy,your device,the max
299,save,battery life,laptop
299,save,tablet,such a display system cooling system update
299,cool,bluetooth connectivity,NA
300,bank,shop,a unique dedicated browser
300,secure,your transaction,fraud bitdefender safepay
300,fill,credit card detail,billing field
301,supervise,your child s online activity,NA
302,get,an extra layer,protection
302,get,your personal information,hacker and data snoop
303,store,your password credit card information,other sensitive data
303,store,a secure vault,easy access
303,need,password manager,the option
303,autofill,online form,password
304,use,this tool,a file
304,leave,no trace,your pc
305,s,pure freedom,autopilot
305,run,all your cyber security,pop ups dialog box
305,hassle,option,your work
305,have,fun,NA
306,scan,security hole,vulnerability
306,miss,window security patch,potentially unsafe system setting
306,indicate,the best fix,NA
309,depend,your computer spesification,NA
310,show,all hidden folder,NA
311,log,restart shutdown,lock
313,set,registered organization,owner registry value
314,get,document,malware
314,get,backdoor delf,axz
315,trojan,delf aav worm delf cd worm,delf cd
316,get,application,malware
316,get,deulledo,virus delf
318,get,image,malware
318,get,montoxbro video,NA
319,check,file,s
319,s,image,document
320,check,zero file s size,NA
321,improve,technology,quality
322,autorun,hklm runonce hkcu,NA
324,modify,all infected file,furthermore suspicious file
324,isolate,a quarantine area,further analysis
325,specify,area,the file system
325,accord,a schedule,the system administrator
326,scan,those area,the operating system
326,be,infection,a a separate task
326,launch,system startup,hidden process
326,detect,the most susceptible area,startup object
326,object,ram,NA
327,help,the system administrator,the antivirus database
327,switch,an increased level,security
328,isolate,infected computer,a workstation
328,isolate,the network,the application block
328,infect,the user,server resource
328,access,a certain amount,time
328,identify,the source,infection
328,identify,the infection,NA
329,scalability,multiprocessor server system administrator,the number
329,define,copy,the antivirus engine
329,run,order,the processing
329,accelerate,server request,NA
330,balance,the application,administrator
330,regulate,the allocation,server resource
330,regulate,the antivirus solution,other application
330,depend,task priority level antivirus scan,background mode
331,optimize,the iswift and ichecker technology,kaspersky anti virus
331,make,window server enterprise edition,complete task
331,perform,a complete scan,the system
331,perform,demand,subsequent scan
331,check,new and or modified file,NA
332,centralize,installation,control
332,centralize,kaspersky administration,a centralized administration tool
332,install,application,several server
332,control,the application,NA
333,manage,the microsoft management console,remote administration kaspersky administration kit
333,use,the command line,NA
334,update,antivirus database,demand
334,base,a schedule,kaspersky lab server
335,set,virus scan,order
335,optimize,the use,server resource
335,maximize,the convenience,user
335,maximize,the system administrator,the exact time
335,assign,an antivirus,demand
335,schedule,corporate server,night
335,be,the weekend,NA
336,report,the system administrator,the application
336,review,the microsoft window,kaspersky administration kit event
336,review,the reporting system,a search function
336,feature,a filter,the information
336,need,large log,NA
337,information,the application s status,the application
337,come,an extensive list,event
337,notify,netsendor,email
338,microsoft,window server,kaspersky anti virus
338,microsoft,window server version,NA
339,manage,the kaspersky anti virus,window server enterprise edition
339,manage,kaspersky administration kit,NA
340,rise,cloud security,high intelligence performance
340,base,strong technique support,rising cloud security data center
340,be,asia,the most efficient rising antivirus virtual machine technique
340,rise,a  virtual engine technique,the most excellent platform
340,focus,intelligent data collection,automatic data analysis
340,provide,professional security solution,internet threat behavior
340,provide,malicious attack,hacker habit
341,base,triple layer security defense structure,rising cloud security
341,rise,integrated traditional monitor,intelligent active defense function
342,delete,trojan backdoor worm,other malicious virus program
342,trojan,a file,NA
343,scan,inbound and outbound smtp email,NA
344,delete,unknown trojan,backdoor worm
344,delete,other malicious virus program,removable device
344,connect,usb port,NA
345,adopt,rising dynamic behavior analysis technique,window operating system kernel
345,rise,unknown trojan,backdoor worm
346,take,rising system kernel reinforce,web browser program
346,rise,unknown trojan,backdoor worm
347,intercept,unknown trojan,backdoor worm
347,intercept,other malicious virus program,malicious attack
347,exploit,office software unknown vulnerability,office software
348,provide,professional computer user,two optional customizable method
348,provide,a template,custom
348,detect,monitor,all malicious behavior
348,intercept,virus program,window system kernel
349,destroy,any existing malware,a pc
350,detect,spyware threat,each infection
351,scan,detects,rootkits
351,remove,your computer,NA
352,prevent,malicious software,your pc
352,turn,a zombie,NA
353,protect,critical system file,block malware
354,run,unknown file,an isolated environment
354,because,no damage,NA
355,cut,edge protection,sophisticated buffer overflow attack
356,kill,malicious process,NA
357,set,each cracklock controlled software,NA
358,translate,many language,NA
359,contextual,help,any time
360,defend,your system,virus worm
360,defend,spyware bot,trojan
360,hide,compressed file,combined anti virus firewall and intrusion prevention technology mcafee s industry leading security
360,safeguard,spam,phishing attack malicious website
360,phish,other threat,standard anti virus and url filtering system
361,close,the protection gap,mcafee global threat intelligence gti gti
361,close,comprehensive real time protection,both known and emerging threat
361,emerge,all key threat vector file web email,network
361,use,reputation,based threat protection
361,base,addition,real world data
361,collect,sensor,intelligence
361,deliver,a complete suite,mcafee security product
362,detect,clean virus,microsoft outlook
362,include,html text,attachment
363,let,your anti malware software,end user virusscan enterprise
363,scan,le memory,fewer cpu cycle
363,protect,any other anti malware product,the market
364,limit,the risk,impact
364,limit,an outbreak,close port monitor application
364,occur,email engine,block file
365,defend,your desktop laptop,file server
365,defend,disruption malware,hacker
366,guard,buffer overflow exploit,vulnerability
366,aim,microsoft window operating system service microsoft word microsoft excel microsoft internet explorer microsoft outlook,microsoft sql server
366,protect,ii service winzip,microsoft powerpoint microsoft office access microsoft office visio microsoft window medium player
366,protect,microsoft messenger,NA
367,manage,virusscan enterprise,one central mcafee epolicy orchestrator
367,manage,epo console,detailed enterprise level
369,advanced,heuristic analysis,new and yet unknown virus
370,feature,detection,sophisticated and hidden malicious code
372,build,cure utility,safe disinfection
374,file,quarantine capability,suspected file
375,system,information utility,analysis tool
375,system,extensive  check,NA
376,update,utility,the program
379,information,detected trojan horse virus,worm
380,work,parallel,any known anti virus software
380,know,better protection,NA
381,be,the graphical interface,NA
382,extensive,malware recognition,virus trojan
382,detect,spyware double extension file,unusual runtime compression tool
383,solid,antivirus technology multi platform certified scan engine,NA
384,low,usage,computer resource
385,allow,remote configuration,the server admin s work
385,keep,network user,NA
386,entitle,virus definition update,product
386,offer,a team,NA
387,avira,resident service,the background
387,avira,all file operation,the user
387,perform,a file operation,a program
387,launch,a document,virus
387,scan,unwanted program,NA
388,be,a special interface,the resident service
388,monitor,a such it,the possibility
388,manage,several resident service,different server
388,instal,the network,NA
390,trojan,backdoor provide,stranger
390,instal,an attacker,full control
390,take,your computer,a trojan
390,describe,a a piece,software
390,arrive,a email attachment,a keylogger
390,be,a type,malware
390,be,all keyboard activity,a squared free specializes
390,eliminate,these type,NA
391,worm,virus,the most irritating phenomenon
391,be,the internet,a dangerous email attachment worm
391,send,copy,all reachable destination
391,send,great damage,newer network worm bot
391,infect,a pc,an astonishing speed
391,reproduce,your knowledge,your pc
391,transform,a spam,zombie
391,send,a squared free eliminates worm,any further damage
392,be,small program,the internet access number
392,change,a modem,computer
392,equip,a much more expensive number cost,a high a several hundred dollar
392,rise,a squared free remove dialers,NA
393,be,money,certain advertising company
393,have,no qualm,smuggling
393,have,software,your system recording information
393,advert,the start page,your browser
393,belong,the spyware adware category,spyware
393,remove,your pc trace,the registry
395,stop,virus,your computer
396,be,a virtual operating environment,untrusted program
396,be,virus,other malicious software
396,isolate,the rest,your computer
397,exceed,the protection,expensive security suite
399,set,virus,a schedule
400,spyware,scanner detects,clean malware infection
400,spyware,pc registry,disk
401,cloud,based antivirus,malicious file
401,detect,a user doe,date virus definition
403,cloud,based whitelisting,trusted publisher
403,identify,a safe file,vendor
404,interfere,a user s gaming experience,such a alert virus database update
405,provide,user,the ability
405,lockdown,their pc,only known good application
406,make,your pc,one simple button
407,forget,antivirus,NA
408,get,the most current protection,new viral strain
409,change,the behavior,antivirus
409,reflect,your security preference,any given time
410,prevent,virus spyware ransomware,other malware
410,infect,your pc mac tablet,smartphone
411,have,the latest software,total defense
411,have,all product upgrade,a new feature
411,release,your product,NA
412,auto,scanning,usb drive block
412,enter,your pc,NA
413,monitor,the status,your system
413,provide,real time report,user activity
413,show,system alert,a consolidated report
413,receive,the protection,NA
414,update,the internet constant protection,new virus spyware
415,enhanced,scan engine,the fastest scan engine
415,enhanced,it class,virus bulletin checkmark
415,certify, vista,NA
416,modify,are automatically scanned ensures,complete protection
416,scan,all time,NA
417,slow,your system,NA
418,instal,your approval,checkmark
419,stop,all type,malware
419,stop,such a trojan worm,key logger
