domain,app,requirement,url
Compression Tool,WinZip,"BZ2 (.bz, .bz2, .tbz, .tbz2)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"LHA/LZH (.lha, .lzh)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,Cabinet (.cab),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"Disc Image (.img, .iso)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,TAR (.tar),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"GZIP (.gz, .taz, .tgz)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"Compress (.tz, .z)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"UUencode (.uu, .uue)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,XXencode (.xxe),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"MIME (.b64, .mim)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"BinHex (.bhx, .hqx)",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,Most other compressed files,https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"Along with state-of-the-art file compression and decompression, WinZip also offers strong AES encryption to help you secure sensitive data from unauthorized access. Encrypt and password-protect your files as you zip them, all in one easy step! You can even define your own password policies that WinZip will enforce for each file you encrypt.",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"As an added security measure, WinZip also auto-wipes or ""shreds"" temporarily extracted copies of encrypted files using the U.S. Department of Defense standard (DoD 5220.22-M). This automatic action prevents protected files from being recovered and misused.",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"Use WinZip to organize and compress your data into convenient, logical groups that are perfect for sharing! Smaller file sizes translate to faster uploading/downloading times and hassle-free email attachments that don't clog email servers. Using WinZip's powerful encryption capabilities, you can also password-protect compressed files to prevent third parties from gaining unwanted access to your data, making them ideal for sharing!",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"WinZip includes convenient Zip and E-mail tools so that you can zip, encrypt, and email a file directly from the WinZip window without having to open any other applications. This allows you to work without interruption and share files swiftly, safely, and seamlessly! WinZip 15 provides extensive support for most email and webmail applicationsonce configured, you can zip and email files from virtually any email address! In addition, WinZip 15's Zip and Email function includes an image resizer that allows you to resize, zip, and email a set of images in one easy step!",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"WinZip takes full advantage of its file compression technology with an automated data backup facility that helps you prevent data loss. Backup your desktop, documents, pictures, email, etc. using pre-defined jobs or by creating custom backup jobs using WinZip's simple wizard. You can set WinZip to backup selected data files, and you can schedule those backups to run automatically and unattended. You can also backup data to a CD/DVD or network drive, email your backups off site from virtually any email address, or upload your backups to an off-site server using the built-in WinZip FTP client. WinZip will even send you automated email notifications upon job completion!",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinUHA,"User friendly and modern interface, as commercial software",https://www.softpedia.com/get/Compression-tools/WinUHA.shtml
Compression Tool,WinUHA,Shell Context Menu to speed up archives management,https://www.softpedia.com/get/Compression-tools/WinUHA.shtml
Compression Tool,WinUHA,SFX GUI for UHA archives,https://www.softpedia.com/get/Compression-tools/WinUHA.shtml
Compression Tool,WinUHA,Translation Engine to be really user friendly,https://www.softpedia.com/get/Compression-tools/WinUHA.shtml
Compression Tool,ExtractNow,Simple and intuitive user interface for batch archive extractions,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Supports most major archive formats,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Search through folders recursively for archives,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Use password lists to find the correct password for an archive,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Ability to control what happens after extraction,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Monitor directories for archives and automatically extract them,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Windows Explorer integration through file type assocations and context menus,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,ExtractNow,Support for advanced customizations through the use of Lua scripting,https://www.softpedia.com/get/Compression-tools/ExtractNow.shtml
Compression Tool,IZArc,Create an archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Add files to an existing archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Delete files from an existing archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Extract files from an existing archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Test an archive file,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Convert archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Convert CD Images,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Repair broken archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Searching for any files in many archives,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Favorite Folders,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,"Obtaining a detailed list of files and information like compression rate, path, or size from an archive file",https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Supports both long and short 8.3 filenames,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Disk spanning from and to multiple diskettes or other removable media,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,"Implementing the possibility to sort the list items by name size, date and etc.",https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Full Drag & Drop support,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,"CD/DVD Images support (ISO, BIN, MDF, NRG, IMG, C2D, PDI, CDI)",https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Integrating in Windows Explorer context menu,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Automatic installation of most software distributed in archive files,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Add/View comments in an archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,"By double-clicking onto a file in the file list, it's opened with the program associated to this file type",https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,CheckOut feature,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Create a self-extracting archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,E-mail an archive,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Checking for new updates,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Build-in multilanguage support,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Virus Scan feature,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,UU/XX/MIME Encode/Decode,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Create Multi-Volume Set,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Merge Multi-Volume Set,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,UnSFX (Convert self-extracting (SFX) .EXE files to standard archives),https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Encrypt files using Rijandael - AES (256-bits) encryption,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Zip encryption (WinZip 9 compatible),https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,BZip compression for ZIP archives,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,IZArc,Decrypt (.ize) files,https://www.softpedia.com/get/Compression-tools/IZArc.shtml
Compression Tool,WinAce,"compression of the following formats: ACE, ZIP, LHA, MS-CAB, JAVA JAR",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"decompression of: ACE, ZIP, LHA, MS-CAB, RAR, ARC, ARJ, GZip, TAR, ZOO, JAR",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"multi-volume (disk spanning) archives for ACE, ZIP, CAB",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,self-extracting archives (SFX) for ACE and ZIP,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,password encryption & recovery records for data protection,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"Integrity check for ACE, ZIP, LHA, MS-CAB, RAR, ARC, ARJ, GZip, TAR, ZOO, JAR",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,Repair functionality for ACE and ZIP archives,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,Authenticity verification for ACE archives,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"comment files in HTML, ANSI or ASCII for ACE- and ZIP-Archives",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,full command line access (compatible with DOS ACE),https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,detailed information for all archive types,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"Quickviewer for graphic files, Word Documents, HTML pages and ASCII files",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,full drag&drop support,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"complete file-management (copying, moving and deleting of files and directories)",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,optimization of existing archives,https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,access to your archives in Windows Explorer and via the context menu (shell extension),https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,WinAce,"table of contents in the ""Properties"" panel of ACE and ZIP files (shell extension)",https://www.softpedia.com/get/Compression-tools/WinAce.shtml
Compression Tool,FreeArc,Solid compression with smart updates (only changed solid blocks are recompressed),https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"User-definable solid block size (-s) and file sorting order (-ds), including customized filename ordering (arc.groups)",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"AES/Blowfish/Twofish/Serpent encryption with keyfiles support and ability to chain multiple ciphers (-p, -hp, --keyfile, --encryption=ALGORITHMS)",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,FAR and Total Commander plugins allow to create/browse/extract archives using the file manager interface,https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,Ability to list/extract archives directly from Internet: arc x http://www.haskell.org/bz/arc.arc *.h,https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"Archive protection and recovery, including recovery over Internet driven by CRCs of archive sectors (r/rr/-rr/--original=URL)",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"Ability to test archive before and after any operation (-tp/-t), including checking by recovery record and full archive test",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"Moving to archive (m), joining archives (j), archive recompression (ch), locking (k) and commenting (-z/cw)",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"Select files by size, time/age and name (-sl, -sm, -ta, -tb, -tn, -to, -n), select by/clear ARCHIVE file attribute (-ao/-ac)",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,"Base directory on disk / inside archive (-dp/-ap), automatic generation of archive filenames (-ag)",https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,Errors and warnings are reported to stderr and reflected in program exit code; --logfile option saves to the file all the information displayed,https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,FreeArc,Configurable via arc.ini file and FREEARC environment variable; alternative settings may be selected by means of -cfg/-env options,https://www.softpedia.com/get/PORTABLE-SOFTWARE/Compression-Tools/FreeArc.shtml
Compression Tool,QuickPar,"When ""AutoRepair"" is ticked, Files that are missnamed or damaged (with all blocks available) will be repaired immediatly.",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"The Options dialogue now includes checkboxes labelled ""Repair Automatically"" and ""Monitor Automatically"". These control the way the AutoRepair and Monitor Checkboxes in the verification window are set when you first open a PAR2 file.",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"When creating PAR2 files, QuickPar can now create split versions of the source files. Source files will be split into sizes that are exact multiples of the block size.",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"When creating PAR2 files or using them to repair, QuickPar will now ask for confirmation if you click the Stop button.",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"When verifying, QuickPar should now automatically recognise incomplete versions of files created by yDec that end with ""(nnn).tmp"".",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"When verifying files, it is now possible to right click on files in the file list to access the shell context menu appropriate for that file. You can also double click a file to carry out the default action (which would normally be to open the file).",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"After verifying files successfully (or repairing), it is now possible to create extra PAR2 files by clicking the Extra button. QuickPar will display the dialogue for creating PAR2 files but all settings except those to specify how many new recovery blocks you want will be disabled.",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,QuickPar,"After a succesfull Repair, QuickPar will now delete damaged and incomplete data files as well as the PAR2 files that are no longer required. QuickPar will always retain the small ""index"" PAR2 file. This feature may be configured via the Options dialogue.",https://www.softpedia.com/get/Compression-tools/QuickPar.shtml
Compression Tool,TUGZip,"Supports ZIP, 7-ZIP, A, ACE, ARC, ARJ, BH, BZ2, CAB, CPIO, DEB, GCA, GZ, IMP, JAR, LHA (LZH), LIB, RAR, RPM, SQX, TAR, TGZ, TBZ, TAZ, YZ1 and ZOO archives",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,"Supports BIN, C2D, IMG, ISO and NRG disc-images",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,Support for external plugins,https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,"Windows shell integration, for example drag & drop, shell context menu and drop handlers",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,"Create 7-ZIP, BH, BZ2, CAB, JAR, LHA (LZH), SQX, TAR, TGZ, YZ1 and ZIP archives",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,Script support which allows you to make automated backups,https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,"Basic features like: add, extract, delete, rename, run, view, checkout, install, test, comment, SFX, virus-scanning, disk-spanning and much more",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,Repair corrupted ZIP and SQX archives,https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,Can extract multiple archives at once using Multi Extract,https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,"Encrypt archives using 6 different algorithms. Blowfish (128-bit), DES (56-bit), Triple DES (168-bit) and Rijndael (128-bit, 192-bit and 256-bit)",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,Create self-extracting encrypted archives,https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,TUGZip,"Automatic updates using the ""Web Update"" function",https://www.softpedia.com/get/Compression-tools/TUGZip.shtml
Compression Tool,PowerArchiver,"Complete built-in support (including creating archives and adding files) for ZIP, CAB, LHA (LZH), TAR, TAR.GZ, TAR.BZ2 and BH (BlakHole) files, and built-in support for reading and extracting many other file formats: RAR, ARJ, ARC, ACE, ZOO, GZ and BZIP2",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Built-in support for XXE and UUE encoded files,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Many powerful archive operations (including: renaming files in archive, spanning archives, testing archives, viewing and writing comments, installing archives, and checking archives for viruses)",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Internal viewer that supports TXT, RTF, BMP, ICO, WMF, EMF, GIF and JPG (JPEG) files",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Skinnable toolbar,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Drag and Drop from/to Windows Explorer and the Desktop,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Two ways of viewing archives (Classic - all files in the same listing; Explorer - browsing through an archive like folders in Windows Explorer),https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Creating powerful ZIP, RAR, ARJ, LHA and BH self-extracting archives",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Complete integration with Windows (extracting archives and creating archives directly from Windows Explorer using powerful ""Explorer Shell Extensions"")",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Viewing files in all view styles, including ""as a Web page""",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Converting between file formats (for example: changing a ZIP archive to CAB archive, or LHA archive to ZIP archive)",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Tool for repairing corrupted ZIP archives,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Tool for extracting multiple archives at once,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Tool for creating backup scripts and running automated backups,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Auto Update to automatically download and install new versions of PowerArchiver,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Batch Zip function to create multiple different archives at once,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Favorite Folders to quickly locate archives,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Printing file list to printer, or exporting file list to HTML or TXT files",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,Powerful help in HTML and a tutorial with pictures for beginners,https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,PowerArchiver,"Many, many other useful and powerful features",https://www.softpedia.com/get/Compression-tools/PowerArchiver.shtml
Compression Tool,SFV-Checker,Drag and Drop support of files.,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,CRC32 checking on any file type,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Reports contents of .SFV files,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Reports Inconsistent Byte Sizes.,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Reports files missing.,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Create SFV files from file list.,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Scan folders for .sfv files and automatically check them.,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Concatenate into 1 file for mpeg files or other file types,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,"Correct file naming for .001, .002, .003 files into .rar, .r00, r01 files",https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Logging of all .sfv's for future reference,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,SFV-Checker,Multi-Threaded processing interface,https://www.softpedia.com/get/Compression-tools/SFV-Checker.shtml
Compression Tool,PeaZip,"Easy to use GUI, supports Drag&Drop and integrates in system's context menu",https://www.softpedia.com/get/Compression-tools/PeaZip.shtml
Compression Tool,PeaZip,"All in one tool to work with all most popular archive formats: extract, compress, convert, encrypt, secure deletion, save backup scripts.",https://www.softpedia.com/get/Compression-tools/PeaZip.shtml
Compression Tool,jZip,Create Zip compatible files,https://www.softpedia.com/get/Compression-tools/jZip.shtml
Compression Tool,jZip,Unzip any Zip file archives,https://www.softpedia.com/get/Compression-tools/jZip.shtml
Compression Tool,jZip,"Supports other archive formats like TAR, GZip and RAR",https://www.softpedia.com/get/Compression-tools/jZip.shtml
Compression Tool,jZip,Improved compression ratio,https://www.softpedia.com/get/Compression-tools/jZip.shtml
Compression Tool,jZip,Fast compression engine,https://www.softpedia.com/get/Compression-tools/jZip.shtml
Compression Tool,ALZip,Unzip 40 different formats,https://www.softpedia.com/get/Compression-tools/ALZip.shtml
Compression Tool,ALZip,"ZIP, 7Z, RAR, EGG, TAR, TBZ, LZH, Z, JAR, ALZ, ACE, ARC, ARJ, B64, BH, BHX, BIN, BZ, BZ2, CAB, EAR, ENC, GZ, HA, HQX, ICE, IMG, LHA, MIM, NRG, PAK, TBZ2, TGZ, UUE, UU, WAR, XXE, ISO, LCD, ZOO",https://www.softpedia.com/get/Compression-tools/ALZip.shtml
Compression Tool,ALZip,Zip files into 8 different formats,https://www.softpedia.com/get/Compression-tools/ALZip.shtml
Compression Tool,ALZip,"ZIP, EGG, ALZ, TAR, TBZ, TGZ, LZH, JAR",https://www.softpedia.com/get/Compression-tools/ALZip.shtml
Compression Tool,ALZip,Unicode support for EGG file,https://www.softpedia.com/get/Compression-tools/ALZip.shtml
Compression Tool,ALZip,Language Encoding function to view different characters around the world,https://www.softpedia.com/get/Compression-tools/ALZip.shtml
